YEAR,QUARTER,ORIGIN,DEST,avg_fare,passengers_db1b,market_distance,passengers_t100,seats,departures_performed,avg_fuel_price,load_factor,route,is_saturated
2025,1,ATL,FLL,183.8785428219347,13913.0,586.154651879236,264527.0,331537.0,1676.0,2.2231333333333336,0.7978807795208378,ATL-FLL,0
2025,1,ATL,FSD,385.00982300884954,249.0,1065.845132743363,9744.0,11690.0,88.0,2.2231333333333336,0.8335329341317366,ATL-FSD,1
2025,1,ATL,FWA,307.4654347826087,369.0,536.4239130434783,16374.0,18951.0,251.0,2.2231333333333336,0.8640177299350957,ATL-FWA,1
2025,1,ATL,GEG,381.8669911504425,428.0,2140.1150442477874,15555.0,17840.0,103.0,2.2231333333333336,0.8719170403587444,ATL-GEG,1
2025,1,ATL,GJT,345.2438461538461,69.0,1542.8,817.0,1113.0,13.0,2.2231333333333336,0.734052111410602,ATL-GJT,0
2025,1,ATL,GNV,273.95941780821914,366.0,302.4691780821918,36073.0,42087.0,420.0,2.2231333333333336,0.8571055195190914,ATL-GNV,1
2025,1,ATL,GPT,293.39057142857143,334.0,353.4761904761905,26273.0,31835.0,294.0,2.2231333333333336,0.8252866342076332,ATL-GPT,1
2025,1,ATL,GRB,365.87297777777775,234.0,854.4533333333334,11356.0,14116.0,90.0,2.2231333333333336,0.804477189005384,ATL-GRB,1
2025,1,ATL,GRR,316.4481010928962,1194.0,725.6010928961749,52627.0,59552.0,334.0,2.2231333333333336,0.8837150725416443,ATL-GRR,1
2025,1,ATL,GSO,259.56977351916373,901.0,308.3240418118467,63697.0,86852.0,619.0,2.2231333333333336,0.7333970432459817,ATL-GSO,0
2025,1,ATL,GSP,225.73553719008265,141.0,157.89256198347107,75897.0,98656.0,703.0,2.2231333333333336,0.7693095199481025,ATL-GSP,0
2025,1,ATL,GTR,280.0743396226415,58.0,241.0,10595.0,13319.0,176.0,2.2231333333333336,0.7954801411517382,ATL-GTR,0
2025,1,ATL,HDN,413.134802431611,616.0,1371.5227963525836,12398.0,16685.0,84.0,2.2231333333333336,0.7430626311057836,ATL-HDN,0
2025,1,ATL,HNL,753.953648960739,1064.0,4594.9503464203235,22097.0,25356.0,90.0,2.2231333333333336,0.8714702634484934,ATL-HNL,1
2025,1,ATL,HOU,220.47892917847025,8262.0,714.4203966005666,150548.0,195320.0,1332.0,2.2231333333333336,0.7707761621953717,ATL-HOU,0
2025,1,ATL,HPN,252.1294315992293,1503.0,784.2986512524085,29806.0,44044.0,478.0,2.2231333333333336,0.6767323585505404,ATL-HPN,0
2025,1,ATL,HSV,269.78350746268654,165.0,151.42537313432837,59934.0,74378.0,643.0,2.2231333333333336,0.8058027911479201,ATL-HSV,1
2025,1,ATL,HVN,85.52849740932642,630.0,823.0,6164.0,7810.0,50.0,2.2231333333333336,0.7892445582586428,ATL-HVN,0
2025,1,ATL,IAD,199.89952914798207,4394.0,539.0857623318385,92655.0,129426.0,859.0,2.2231333333333336,0.7158917064577442,ATL-IAD,0
2025,1,ATL,IAH,217.72711930164888,16514.0,700.2492725509214,307872.0,373102.0,2326.0,2.2231333333333336,0.8251684525947328,ATL-IAH,1
2025,1,ATL,ICT,327.1219230769231,580.0,838.420814479638,22603.0,27194.0,250.0,2.2231333333333336,0.8311759947047143,ATL-ICT,1
